# G10 §H golden baselines — background pipeline
# texture size 512, default tolerance 30, fill #EE3333
# picture | variant | out bytes | ms | sha256 | vs baseline
6_stripes.png | closed | 2995 | 437 | 671cb98454768928beb119c25d3547d5c2b9de4bbe1830a80051bd87ab2ec59e | 534 px moved, max 31
6_stripes.png | smart | 2328 | 475 | 479afe77f24c3294a4990586a0c5436fb0c8ba97d730211ce9dd2f45c9c474fd | 356 px moved, max 31
6_stripes.png | edges_fill | 3155 | 344 | 7d6eadf0ab5fb32187dad05adeb1556326129e57cab8c121d806e91316eabe68 | 712 px moved, max 31
6_stripes.png | setbg | 3083 | 368 | cec2ed071740123e210fbb83d64e108a4a1a694c608c0e2c31c5c18fc6bdf775 | 178 px moved, max 12
6_stripes.png | variant | 3131 | 362 | 17c164eb2bcd2a928869ccfc2a063cad01c439d56e0dff7880ec7a4638c1cc63 | 712 px moved, max 30
7_letter_o.jpg | off | 67722 | 215 | 4d768ce1c843baad51d792f6ed7f4d40b1d7917fb28d2d7f1f7a4522144cb238 | identical
7_letter_o.jpg | edges | 51556 | 537 | a1f33c05dee6f8be8424324c4168767cba344b398d6c78c1e41f5f789aa92a34 | 2903 px moved, max 255
7_letter_o.jpg | closed | 35961 | 569 | 746878cdcf6b6c22335d922a718f382e291f3f0520e0ceb12284fc9ad650e412 | 5587 px moved, max 255
7_letter_o.jpg | smart | 33003 | 577 | 2b3b02a91e319f746f2cabf1a7c7c8a1cc78ef2caef83800b4a52645b373c452 | 6757 px moved, max 255
7_letter_o.jpg | edges_fill | 54044 | 556 | 56f6fc6095274a6ee0c6cbe26c1435c190562a2b9f6faa8ced5fa8178cd3d5bd | 4074 px moved, max 255
7_letter_o.jpg | setbg | 51491 | 556 | ba4f649d12e93b14e33e881416ee8e4f436e31eaca3e3a46e3fb5cce1dc8790c | 2981 px moved, max 238
7_letter_o.jpg | variant | 55931 | 562 | 20ec12d62aa944a05bda44a53111a784ec49de341135fe4e77c1e0b444d74bc3 | 4724 px moved, max 238
